Period_unique,Cam,Period,Duration_sec,start_datetime,end_datetime,year,mast,logged
AG21.15.1,AG21,1,6345840,6/2/2015 13:17,8/15/2015 0:01,2015,1,0
AG21.15.2,AG21,2,1577100,8/27/2015 9:55,9/14/2015 16:00,2015,1,0
AG21.16.1,AG21,1,3570960,8/8/2016 9:34,9/18/2016 17:30,2016,0,0
AG21.18.1,AG21,1,1729200,7/11/2018 9:16,7/31/2018 9:36,2018,0,0
AG21.18.2,AG21,2,430140,8/11/2018 9:01,8/16/2018 8:30,2018,0,0
AG21.18.3,AG21,3,58800,9/16/2018 21:48,9/17/2018 14:08,2018,0,0
AG21.19.1,AG21,1,8115600,5/25/2019 10:39,8/27/2019 8:59,2019,1,0
AG21.20.1,AG21,1,3806280,6/8/2020 9:58,7/22/2020 11:16,2020,0,0
AG22.13.1,AG22,1,5614500,6/17/2013 14:10,8/21/2013 13:45,2013,0,0
AG22.14.1,AG22,1,8817300,6/8/2014 9:15,9/18/2014 10:30,2014,1,0
AG22.15.1,AG22,1,8652900,6/2/2015 11:45,9/10/2015 15:20,2015,1,0
AG22.16.1,AG22,1,1936500,8/8/2016 8:49,8/30/2016 18:44,2016,0,0
AG22.18.1,AG22,1,863220,7/11/2018 8:43,7/21/2018 8:30,2018,0,0
AG22.18.2,AG22,2,5888460,7/31/2018 8:54,10/7/2018 12:35,2018,0,0
AG22.19.1,AG22,1,944880,5/25/2019 10:02,6/5/2019 8:30,2019,1,0
AG22.19.2,AG22,2,700200,6/8/2019 10:01,6/16/2019 12:31,2019,1,0
AG22.19.3,AG22,3,5607300,6/23/2019 10:56,8/27/2019 8:31,2019,1,0
AG22.20.1,AG22,1,3806100,6/8/2020 9:40,7/22/2020 10:55,2020,0,0
AG23.13.1,AG23,1,5207460,6/24/2013 9:14,8/23/2013 15:45,2013,0,1
AG23.14.1,AG23,1,6581760,6/30/2014 11:54,9/14/2014 16:10,2014,1,1
AG23.15.1,AG23,1,8489100,6/7/2015 9:40,9/13/2015 15:45,2015,1,1
